symptom,feature_code
Abnormal Appearing Skin,abnormal appearing skin
Abnormal Breathing Sounds,abnormal breathing sounds
Abnormal Involuntary Movements,abnormal involuntary movements
Abnormal Movement Of Eyelid,abnormal movement of eyelid
Abusing Alcohol,abusing alcohol
Ache All Over,ache all over
Acne Or Pimples,acne or pimples
Allergic Reaction,allergic reaction
Ankle Pain,ankle pain
Ankle Swelling,ankle swelling
Antisocial Behavior,antisocial behavior
Anxiety And Nervousness,anxiety and nervousness
Apnea,apnea
Arm Lump Or Mass,arm lump or mass
Arm Pain,arm pain
Arm Stiffness Or Tightness,arm stiffness or tightness
Arm Swelling,arm swelling
Arm Weakness,arm weakness
Back Cramps Or Spasms,back cramps or spasms
Back Mass Or Lump,back mass or lump
Back Pain,back pain
Back Stiffness Or Tightness,back stiffness or tightness
Bleeding From Ear,bleeding from ear
Bleeding From Eye,bleeding from eye
Bleeding Gums,bleeding gums
Blindness,blindness
Blood Clots During Menstrual Periods,blood clots during menstrual periods
Blood In Stool,blood in stool
Blood In Urine,blood in urine
Bones Are Painful,bones are painful
Breathing Fast,breathing fast
Burning Abdominal Pain,burning abdominal pain
Burning Chest Pain,burning chest pain
Changes In Stool Appearance,changes in stool appearance
Chest Tightness,chest tightness
Chills,chills
Congestion In Chest,congestion in chest
Constipation,constipation
Coryza,coryza
Cough,cough
Coughing Up Sputum,coughing up sputum
Cramps And Spasms,cramps and spasms
Decreased Appetite,decreased appetite
Decreased Heart Rate,decreased heart rate
Delusions Or Hallucinations,delusions or hallucinations
Depression,depression
Depressive Or Psychotic Symptoms,depressive or psychotic symptoms
Diaper Rash,diaper rash
Diarrhea,diarrhea
Difficulty Breathing,difficulty breathing
Difficulty In Swallowing,difficulty in swallowing
Difficulty Speaking,difficulty speaking
Diminished Hearing,diminished hearing
Diminished Vision,diminished vision
Disturbance Of Memory,disturbance of memory
Dizziness,dizziness
Double Vision,double vision
Drug Abuse,drug abuse
Ear Pain,ear pain
Elbow Pain,elbow pain
